------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.2 port 5001 connected with 10.2.0.2 port 53584
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 57.0-58.0 sec  1.16 MBytes  9.73 Mbits/sec   0.264 ms    0/  827 (0%)
[  3] 58.0-59.0 sec  1.16 MBytes  9.73 Mbits/sec   0.308 ms    0/  827 (0%)
[  3] 59.0-60.0 sec  1.16 MBytes  9.71 Mbits/sec   0.269 ms    0/  826 (0%)
[  3] 60.0-61.0 sec  1.16 MBytes  9.73 Mbits/sec   0.276 ms    0/  827 (0%)
[  3] 61.0-62.0 sec  1.16 MBytes  9.73 Mbits/sec   0.284 ms    0/  827 (0%)
[  3] 62.0-63.0 sec   989 KBytes  8.10 Mbits/sec   0.035 ms    0/  689 (0%)
[  3] 63.0-64.0 sec   976 KBytes  8.00 Mbits/sec   0.015 ms    0/  680 (0%)
[  3] 64.0-65.0 sec   976 KBytes  8.00 Mbits/sec   0.013 ms    0/  680 (0%)
[  3] 65.0-66.0 sec   978 KBytes  8.01 Mbits/sec   0.024 ms    0/  681 (0%)
[  3] 66.0-67.0 sec   976 KBytes  8.00 Mbits/sec   0.033 ms    0/  680 (0%)
[  3] 67.0-68.0 sec   976 KBytes  8.00 Mbits/sec   0.022 ms    0/  680 (0%)
[  3] 68.0-69.0 sec   978 KBytes  8.01 Mbits/sec   0.237 ms    0/  681 (0%)
[  3] 69.0-70.0 sec   976 KBytes  8.00 Mbits/sec   0.029 ms    0/  680 (0%)
[  3] 70.0-71.0 sec   976 KBytes  8.00 Mbits/sec   0.038 ms    0/  680 (0%)
[  3] 71.0-72.0 sec   976 KBytes  8.00 Mbits/sec   0.048 ms    0/  680 (0%)
[  3] 72.0-73.0 sec   978 KBytes  8.01 Mbits/sec   0.022 ms    0/  681 (0%)
[  3] 73.0-74.0 sec   976 KBytes  8.00 Mbits/sec   0.018 ms    0/  680 (0%)
[  3] 74.0-75.0 sec   976 KBytes  8.00 Mbits/sec   0.180 ms    0/  680 (0%)
[  3] 75.0-76.0 sec   976 KBytes  8.00 Mbits/sec   0.020 ms    0/  680 (0%)
[  3] 76.0-77.0 sec   978 KBytes  8.01 Mbits/sec   0.023 ms    0/  681 (0%)
[  3] 77.0-78.0 sec   976 KBytes  8.00 Mbits/sec   0.285 ms    0/  680 (0%)
[  3] 78.0-79.0 sec   976 KBytes  8.00 Mbits/sec   0.028 ms    0/  680 (0%)
[  3] 79.0-80.0 sec   976 KBytes  8.00 Mbits/sec   0.020 ms    0/  680 (0%)
[  3] 80.0-81.0 sec   978 KBytes  8.01 Mbits/sec   0.029 ms    0/  681 (0%)
[  3] 81.0-82.0 sec   976 KBytes  8.00 Mbits/sec   0.018 ms    0/  680 (0%)
[  3] 82.0-83.0 sec   976 KBytes  8.00 Mbits/sec   0.028 ms    0/  680 (0%)
[  3] 83.0-84.0 sec   978 KBytes  8.01 Mbits/sec   0.011 ms    0/  681 (0%)
[  3] 84.0-85.0 sec   976 KBytes  8.00 Mbits/sec   0.020 ms    0/  680 (0%)
[  3] 85.0-86.0 sec   976 KBytes  8.00 Mbits/sec   0.015 ms    0/  680 (0%)
[  3] 86.0-87.0 sec   976 KBytes  8.00 Mbits/sec   0.022 ms    0/  680 (0%)
[  3] 87.0-88.0 sec   978 KBytes  8.01 Mbits/sec   0.021 ms    0/  681 (0%)
[  3] 88.0-89.0 sec   976 KBytes  8.00 Mbits/sec   0.032 ms    0/  680 (0%)
[  3] 89.0-90.0 sec   976 KBytes  8.00 Mbits/sec   0.035 ms    0/  680 (0%)
[  3] 90.0-91.0 sec   976 KBytes  8.00 Mbits/sec   0.024 ms    0/  680 (0%)
[  3] 91.0-92.0 sec   978 KBytes  8.01 Mbits/sec   0.029 ms    0/  681 (0%)
[  3] 92.0-93.0 sec   976 KBytes  8.00 Mbits/sec   0.119 ms    0/  680 (0%)
[  3] 93.0-94.0 sec   976 KBytes  8.00 Mbits/sec   0.029 ms    0/  680 (0%)
[  3] 94.0-95.0 sec   978 KBytes  8.01 Mbits/sec   0.015 ms    0/  681 (0%)
[  3] 95.0-96.0 sec   976 KBytes  8.00 Mbits/sec   0.008 ms    0/  680 (0%)
[  3] 96.0-97.0 sec   976 KBytes  8.00 Mbits/sec   0.012 ms    0/  680 (0%)
[  3] 97.0-98.0 sec   976 KBytes  8.00 Mbits/sec   0.011 ms    0/  680 (0%)
[  3] 98.0-99.0 sec   978 KBytes  8.01 Mbits/sec   0.014 ms    0/  681 (0%)
[  3] 99.0-100.0 sec   976 KBytes  8.00 Mbits/sec   0.014 ms    0/  680 (0%)
[  3] 100.0-101.0 sec   976 KBytes  8.00 Mbits/sec   0.018 ms    0/  680 (0%)
[  3] 101.0-102.0 sec   978 KBytes  8.01 Mbits/sec   0.016 ms    0/  681 (0%)
[  3] 102.0-103.0 sec   976 KBytes  8.00 Mbits/sec   0.009 ms    0/  680 (0%)
[  3] 103.0-104.0 sec   976 KBytes  8.00 Mbits/sec   0.011 ms    0/  680 (0%)
[  3] 104.0-105.0 sec   976 KBytes  8.00 Mbits/sec   0.014 ms    0/  680 (0%)
[  3] 105.0-106.0 sec   978 KBytes  8.01 Mbits/sec   0.014 ms    0/  681 (0%)
[  3] 106.0-107.0 sec   976 KBytes  8.00 Mbits/sec   0.025 ms    0/  680 (0%)
[  3] 107.0-108.0 sec   976 KBytes  8.00 Mbits/sec   0.022 ms    0/  680 (0%)
